time,daily_max,daily_min,latitude,longitude,number,step,surface
1981-03-29,35.12784,22.49582,4.0,-73.0,0,0 days,0.0
1981-03-30,35.911224,23.204987,4.0,-73.0,0,0 days,0.0
1981-03-31,35.433746,23.290863,4.0,-73.0,0,0 days,0.0
1981-04-01,32.01407,22.990814,4.0,-73.0,0,0 days,0.0
1981-04-02,32.080353,24.004547,4.0,-73.0,0,0 days,0.0
1981-04-03,33.191437,24.258087,4.0,-73.0,0,0 days,0.0
1981-04-04,31.410675,22.186493,4.0,-73.0,0,0 days,0.0
1981-04-05,28.399689,21.73349,4.0,-73.0,0,0 days,0.0
1981-04-06,32.199493,22.263031,4.0,-73.0,0,0 days,0.0
1981-04-07,30.000244,22.19577,4.0,-73.0,0,0 days,0.0
1981-04-08,30.942719,22.608307,4.0,-73.0,0,0 days,0.0
1981-04-09,28.969849,22.829071,4.0,-73.0,0,0 days,0.0
1981-04-10,29.822418,21.347443,4.0,-73.0,0,0 days,0.0
1981-04-11,31.374786,22.806366,4.0,-73.0,0,0 days,0.0
1981-04-12,25.816803,23.233154,4.0,-73.0,0,0 days,0.0
1981-04-13,28.054047,22.565643,4.0,-73.0,0,0 days,0.0
1981-04-14,28.394318,23.060516,4.0,-73.0,0,0 days,0.0
1981-04-15,29.024994,22.640839,4.0,-73.0,0,0 days,0.0
1981-04-16,27.864716,23.539124,4.0,-73.0,0,0 days,0.0
1981-04-17,26.682922,22.059631,4.0,-73.0,0,0 days,0.0
1981-04-18,31.386383,22.16925,4.0,-73.0,0,0 days,0.0
1981-04-19,27.90094,22.570099,4.0,-73.0,0,0 days,0.0
1981-04-20,30.973236,22.507172,4.0,-73.0,0,0 days,0.0
1981-04-21,30.417267,23.192474,4.0,-73.0,0,0 days,0.0
1981-04-22,28.77597,22.724945,4.0,-73.0,0,0 days,0.0
1981-04-23,32.045258,22.374908,4.0,-73.0,0,0 days,0.0
1981-04-24,31.186157,23.381348,4.0,-73.0,0,0 days,0.0
1981-04-25,30.564606,23.507294,4.0,-73.0,0,0 days,0.0
1981-04-26,30.06015,23.221558,4.0,-73.0,0,0 days,0.0
1981-04-27,27.574585,22.858032,4.0,-73.0,0,0 days,0.0
1981-04-28,29.113373,22.766632,4.0,-73.0,0,0 days,0.0
1981-04-29,31.199402,22.439789,4.0,-73.0,0,0 days,0.0
1981-04-30,29.089325,22.457245,4.0,-73.0,0,0 days,0.0
1981-05-01,29.229279,22.0177,4.0,-73.0,0,0 days,0.0
1981-05-02,30.28598,22.278778,4.0,-73.0,0,0 days,0.0
1981-05-03,30.030945,22.576233,4.0,-73.0,0,0 days,0.0
1981-05-04,27.739471,23.086945,4.0,-73.0,0,0 days,0.0
1981-05-05,27.37497,23.168854,4.0,-73.0,0,0 days,0.0
1981-05-06,28.854462,22.266998,4.0,-73.0,0,0 days,0.0
